id,tenant_id,branch_id,member_id,claim_created_at,submitted_at,current_status,claim_id,to_status,is_public,history_created_at
vv28_bD0sbkn-2_H8usBH,tenant_ks,ks_branch_a,golden_ks_a_member_1,2026-04-01 07:13:51.260209,2026-04-01 07:13:51.260209,verification,vv28_bD0sbkn-2_H8usBH,submitted,t,2026-04-01 07:13:51.260209
vv28_bD0sbkn-2_H8usBH,tenant_ks,ks_branch_a,golden_ks_a_member_1,2026-04-01 07:13:51.260209,2026-04-01 07:13:51.260209,verification,vv28_bD0sbkn-2_H8usBH,verification,t,2026-04-01 07:27:30.858
Tl_kfpOfE2qPdXNGUj-PI,tenant_ks,ks_branch_a,golden_ks_a_member_1,2026-04-01 07:14:36.203024,2026-04-01 07:14:36.203024,verification,Tl_kfpOfE2qPdXNGUj-PI,submitted,t,2026-04-01 07:14:36.203024
Tl_kfpOfE2qPdXNGUj-PI,tenant_ks,ks_branch_a,golden_ks_a_member_1,2026-04-01 07:14:36.203024,2026-04-01 07:14:36.203024,verification,Tl_kfpOfE2qPdXNGUj-PI,verification,t,2026-04-01 07:22:08.741
